parameter,parameter_label,parameter_key,parameter_value,manuscript_environment,internal_environment,requested_epochs,episode_count,valid_count,seed_min,seed_max,path_length_mean,path_length_std,path_length_min,path_length_max,path_length_median,maximum_curvature_mean,maximum_curvature_std,maximum_curvature_min,maximum_curvature_max,maximum_curvature_median,minimum_clearance_mean,minimum_clearance_std,minimum_clearance_min,minimum_clearance_max,minimum_clearance_median,smoothness_mean,smoothness_std,smoothness_min,smoothness_max,smoothness_median,wheel_effort_mean,wheel_effort_std,wheel_effort_min,wheel_effort_max,wheel_effort_median,centering_mean,centering_std,centering_min,centering_max,centering_median,computation_time_seconds_mean,computation_time_seconds_std,computation_time_seconds_min,computation_time_seconds_max,computation_time_seconds_median,collision_count_sum,collision_count_mean,collision_rate
rho,A* Seed Ratio,seed_ratio,0.0,Level-1,Easy,30,30,30,20760704,20760733,18.249785739550287,0.23035189655468652,17.955736453938027,18.870809167217953,18.189973621339796,109.97340885893783,379.400412483819,8.240175985086974,2143.6929941455833,26.734654318140528,0.24054686084490845,0.028352678962083124,0.223606797749979,0.30000000000000004,0.223606797749979,195.91839906773083,12.865634206736916,169.0489448817999,225.721648007415,196.02960805416268,35.036412081206585,6.861248375202278,21.925529048579577,53.662802415940135,34.29988243824256,1161.9464771353403,56.93295062816306,1026.8681493219428,1288.5004786527973,1162.5477465538838,155.95393369197845,4.7499158247742415,147.46160531044006,164.2108883857727,156.69397902488708,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,0.25,Level-1,Easy,30,30,30,20760704,20760733,18.32275743223557,0.18355716868698124,17.92005941258716,18.683447038940557,18.317020813926973,90.77216772012198,144.267011865593,9.11710224828746,742.3879133544406,41.37051534721834,0.2779337254389337,0.04918852437614002,0.223606797749979,0.36055512754639896,0.28284271247461906,195.19251223297778,12.605616564021581,169.0725723354247,213.3652754255761,197.48902455760347,35.995650735240865,6.644102967874771,25.15099330476397,55.77594570726996,35.589363109169526,1055.8157629686618,59.56531829488166,981.8127534127412,1233.0107442097835,1044.5712366927544,153.5582337141037,3.862300879589347,147.81413054466248,160.5723831653595,153.1004534959793,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,0.5,Level-1,Easy,30,30,30,20760704,20760733,18.282025161482384,0.16470690587729947,17.93515732161676,18.530637591192782,18.29303023161665,2684.7843113589324,12890.066011546702,17.69452455201011,71939.82948370917,46.08430169177899,0.29144764705138126,0.05220091660957871,0.223606797749979,0.4,0.2914213562373096,198.55726931995974,9.831078285917407,176.5937069056919,214.44432972876055,198.70010603674942,42.632225715033464,21.86025221358054,26.809135471788657,152.28034542317988,37.17599002155522,1046.4247948085715,53.978453518391795,957.1435914902646,1168.3484671633948,1042.0883775485318,155.1323911746343,5.6008402460176825,145.12138438224792,162.95920825004578,157.0079425573349,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,0.7,Level-1,Easy,30,30,30,20760704,20760733,18.331349031453662,0.2221782504299405,17.831732559910538,18.84362414880877,18.27630238156678,118.04222610843038,131.33343977681434,12.591212063855052,452.76125947533245,62.46444643132948,0.311680052277681,0.04307603756361585,0.223606797749979,0.41231056256176607,0.30000000000000004,199.10944421233432,11.08529791557724,166.56844319803852,217.12091662916515,197.46086189032667,43.11325379151815,20.523933581895434,26.599088825013077,144.29454905910404,37.94491129996939,1025.777410793832,56.77968897538771,932.6441810417263,1157.2652428767778,1032.099372053143,152.42145454088848,3.8945485626576906,145.39573740959167,159.05475521087646,152.96343433856964,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,0.9,Level-1,Easy,30,30,30,20760704,20760733,18.30343165395171,0.1600282979099955,17.877754233920058,18.700922105691394,18.30448852110262,78.86552654084,96.50256672644949,7.493831853430895,525.179028344119,49.3094828903861,0.3100727779366441,0.0502149285503748,0.223606797749979,0.4,0.316227766016838,194.1157480452856,11.258076620322928,174.81663754068765,215.42228753036582,196.55554974012867,42.975560675203205,24.580837249817762,26.321291488086484,155.86378941306762,34.21241366063856,1026.8626172166664,50.70190382889824,946.4745068463463,1137.9116480796333,1011.0343168378776,150.1555875460307,5.229147982551923,141.11719727516174,160.016530752182,149.57144510746002,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,1.0,Level-1,Easy,30,30,30,20760704,20760733,18.337722669076435,0.1572439933204903,17.866902898035914,18.61132306893073,18.349746894325897,353.44909984569534,732.4702780107247,14.45932381455427,3819.688998525725,101.18453210160395,0.32016557439090315,0.04648302530612391,0.223606797749979,0.4,0.316227766016838,196.80551414368844,12.519433418324047,172.53652095932716,226.51467280400334,199.3750544813726,40.72847278320721,13.791356542615038,25.582829055318108,83.98728786267311,36.21068594563175,1012.2035356652657,41.75816517952252,945.4018849396734,1146.1880090427933,1014.0425132102092,153.02872864405313,6.45572033518783,133.83093547821045,160.4725317955017,155.73863434791565,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,0.0,Level-2,Moderate-I,30,30,30,20770704,20770733,22.06963911583847,0.3369214893239126,21.41474083853506,22.688444154439907,22.01484841798535,2553.781146788621,13371.469621559007,8.594025762454889,74559.55174854479,29.978719105269015,0.2594614544306592,0.03182902760155159,0.223606797749979,0.30000000000000004,0.28284271247461906,197.77714333651542,22.913111179380593,156.99361468848707,234.00011086450704,197.43731922967226,51.8186890365698,22.703467429527162,27.754135314755043,132.0807502116979,46.06581037146249,1473.1991784445418,39.57083470408107,1385.5866412189766,1566.09130005967,1474.2645377678846,195.52566136519116,16.422994620629105,174.6554081439972,221.29408144950867,192.04816484451294,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,0.25,Level-2,Moderate-I,30,30,30,20770704,20770733,22.164001590553653,0.3406057552465479,21.730738677784345,23.170165440362616,22.092463594630185,101.03809384660289,180.31106409390105,6.3073526599380925,787.7615569546773,27.594453690262224,0.26512624416484,0.03227085354277191,0.223606797749979,0.30000000000000004,0.28284271247461906,198.4672155631332,26.658373187860278,153.9216300211584,252.42461577987288,194.67605747715396,43.85185896881662,12.454385457991698,26.998501375727667,74.81234218824986,40.26257768548362,1452.4637454941644,37.88848645893814,1374.262994085481,1562.7671144562648,1447.752808120899,197.72312235832214,6.269949726952778,186.71488642692566,208.59826064109802,196.54479217529297,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,0.5,Level-2,Moderate-I,30,30,30,20770704,20770733,22.042539543946603,0.23385697407061704,21.597253003842248,22.59035272418588,22.042445798519985,83.95675413334361,201.9068818891606,7.070213195425736,1055.4276957132977,26.809623880234223,0.2653850459031232,0.03006843435116907,0.223606797749979,0.30000000000000004,0.28284271247461906,189.00489079251227,22.146479096374204,153.0061112495409,235.33336723404176,189.96361152141935,43.70174799453361,20.46339837379682,25.416227657411547,117.71912061470202,36.4897652627117,1468.8738660092806,41.98902443818474,1391.0466690553926,1550.6276953069248,1466.6062497218509,188.98241356213887,8.39195439185126,177.06496858596802,206.23459720611572,187.64313912391663,0,0.0,0.0
rho,A* Seed Ratio,seed_ratio,0.7,Level-2,Moderate-I,30,30,30,20770704,20770733,22.144210490058683,0.30591979005399916,21.48328504885093,22.848467071216792,22.113839780350702,145.35566628744587,398.0802117418818,7.237482202228574,2196.9483571629276,20.975524095914597,0.275570806203126,0.026970306546753916,0.223606797749979,0.30000000000000004,0.28284271247461906,192.13426364712348,28.494574365457282,154.55965360107953,255.98063118096152,191.82741146641047,39.98164817756845,15.163168756529778,24.40934273242119,93.19960036647225,36.10715386963413,1456.6470243645917,41.40704521281645,1373.6719491325778,1555.343617258341,1460.4235740134407,204.6769918759664,4.291436073356371,197.28229355812073,213.12484765052795,204.31952130794525,0,0.0,0.0
